"Time (s) Run #1","Light Intensity (lx) Run #1"
0.000,255.95
0.001,255.94
0.002,255.96
0.003,255.98
0.004,255.98
0.005,255.96
0.006,255.96
0.007,255.96
0.008,255.98
0.009,255.98
0.010,255.94
0.011,255.94
0.012,255.94
0.013,255.95
0.014,255.93
0.015,255.93
0.016,255.92
0.017,255.94
0.018,255.97
0.019,255.97
0.020,255.98
0.021,255.96
0.022,255.96
0.023,255.96
0.024,255.97
0.025,255.94
0.026,255.93
0.027,255.91
0.028,255.92
0.029,255.91
0.030,255.91
0.031,255.88
0.032,255.86
0.033,255.85
0.034,255.85
0.035,255.84
0.036,255.82
0.037,255.82
0.038,255.83
0.039,255.85
0.040,255.84
0.041,255.85
0.042,255.84
0.043,255.85
0.044,255.86
0.045,255.85
0.046,255.86
0.047,255.85
0.048,255.85
0.049,255.86
0.050,255.86
0.051,255.86
0.052,255.86
0.053,255.87
0.054,255.88
0.055,255.90
0.056,255.90
0.057,255.92
0.058,255.92
0.059,255.93
0.060,255.92
0.061,255.93
0.062,255.93
0.063,255.92
0.064,255.93
0.065,255.93
0.066,255.93
0.067,255.93
0.068,255.92
0.069,255.92
0.070,255.92
0.071,255.92
0.072,255.91
0.073,255.91
0.074,255.92
0.075,255.92
0.076,255.92
0.077,255.92
0.078,255.92
0.079,255.91
0.080,255.92
0.081,255.94
0.082,255.94
0.083,255.94
0.084,255.96
0.085,255.95
0.086,255.94
0.087,255.94
0.088,255.96
0.089,255.97
0.090,255.98
0.091,255.98
0.092,255.97
0.093,255.96
0.094,255.96
0.095,255.97
0.096,255.97
0.097,255.96
0.098,255.98
0.099,255.98
0.100,255.98
0.101,255.97
0.102,255.96
0.103,255.95
0.104,255.95
0.105,255.92
0.106,255.91
0.107,255.90
0.108,255.90
0.109,255.92
0.110,255.91
0.111,255.90
0.112,255.90
0.113,255.91
0.114,255.92
0.115,255.93
0.116,255.94
0.117,255.94
0.118,255.97
0.119,255.98
0.120,255.99
0.121,256.00
0.122,255.99
0.123,256.00
0.124,256.01
0.125,256.00
0.126,255.99
0.127,255.97
0.128,255.97
0.129,255.96
0.130,255.94
0.131,255.92
0.132,255.90
0.133,255.88
0.134,255.86
0.135,255.85
0.136,255.83
0.137,255.81
0.138,255.81
0.139,255.80
0.140,255.78
0.141,255.78
0.142,255.75
0.143,255.75
0.144,255.76
0.145,255.74
0.146,255.75
0.147,255.76
0.148,255.79
0.149,255.79
0.150,255.79
0.151,255.81
0.152,255.82
0.153,255.85
0.154,255.86
0.155,255.88
0.156,255.91
0.157,255.92
0.158,255.94
0.159,255.98
0.160,255.99
0.161,256.00
0.162,256.03
0.163,256.04
0.164,256.04
0.165,256.05
0.166,256.02
0.167,256.03
0.168,256.02
0.169,256.04
0.170,256.04
0.171,256.03
0.172,256.01
0.173,256.00
0.174,255.99
0.175,255.97
0.176,255.96
0.177,255.97
0.178,255.94
0.179,255.96
0.180,255.95
0.181,255.94
0.182,255.93
0.183,255.92
0.184,255.92
0.185,255.92
0.186,255.92
0.187,255.92
0.188,255.91
0.189,255.91
0.190,255.92
0.191,255.91
0.192,255.91
0.193,255.92
0.194,255.91
0.195,255.90
0.196,255.89
0.197,255.88
0.198,255.90
0.199,255.90
0.200,255.89
0.201,255.86
0.202,255.85
0.203,255.85
0.204,255.85
0.205,255.83
0.206,255.81
0.207,255.80
0.208,255.80
0.209,255.81
0.210,255.81
0.211,255.82
0.212,255.81
0.213,255.82
0.214,255.81
0.215,255.81
0.216,255.82
0.217,255.84
0.218,255.85
0.219,255.86
0.220,255.88
0.221,255.88
0.222,255.92
0.223,255.92
0.224,255.91
0.225,255.92
0.226,255.92
0.227,255.92
0.228,255.92
0.229,255.93
0.230,255.93
0.231,255.92
0.232,255.94
0.233,255.94
0.234,255.94
0.235,255.94
0.236,255.94
0.237,255.93
0.238,255.92
0.239,255.92
0.240,255.93
0.241,255.92
0.242,255.88
0.243,255.87
0.244,255.86
0.245,255.86
0.246,255.87
0.247,255.87
0.248,255.87
0.249,255.88
0.250,255.88
0.251,255.90
0.252,255.90
0.253,255.90
0.254,255.91
0.255,255.92
0.256,255.95
0.257,255.95
0.258,255.97
0.259,255.98
0.260,256.00
0.261,256.01
0.262,256.01
0.263,256.02
0.264,256.01
0.265,256.00
0.266,255.99
0.267,256.00
0.268,255.99
0.269,256.00
0.270,256.00
0.271,255.98
0.272,255.98
0.273,255.95
0.274,255.94
0.275,255.93
0.276,255.92
0.277,255.92
0.278,255.91
0.279,255.90
0.280,255.88
0.281,255.90
0.282,255.88
0.283,255.87
0.284,255.85
0.285,255.85
0.286,255.83
0.287,255.81
0.288,255.82
0.289,255.81
0.290,255.83
0.291,255.83
0.292,255.84
0.293,255.85
0.294,255.85
0.295,255.85
0.296,255.84
0.297,255.85
0.298,255.84
0.299,255.85
0.300,255.85
0.301,255.85
0.302,255.86
0.303,255.85
0.304,255.85
0.305,255.85
0.306,255.85
0.307,255.85
0.308,255.85
0.309,255.85
0.310,255.86
0.311,255.87
0.312,255.87
0.313,255.86
0.314,255.88
0.315,255.91
0.316,255.92
0.317,255.92
0.318,255.93
0.319,255.96
0.320,255.99
0.321,256.00
0.322,256.03
0.323,256.02
0.324,256.04
0.325,256.04
0.326,256.04
0.327,256.05
0.328,256.07
0.329,256.06
0.330,256.06
0.331,256.05
0.332,256.06
0.333,256.05
0.334,256.06
0.335,256.05
0.336,256.05
0.337,256.04
0.338,256.03
0.339,256.02
0.340,256.01
0.341,256.00
0.342,256.01
0.343,255.98
0.344,255.98
0.345,255.97
0.346,255.95
0.347,255.93
0.348,255.92
0.349,255.90
0.350,255.89
0.351,255.88
0.352,255.88
0.353,255.86
0.354,255.86
0.355,255.86
0.356,255.85
0.357,255.85
0.358,255.83
0.359,255.84
0.360,255.85
0.361,255.84
0.362,255.85
0.363,255.85
0.364,255.86
0.365,255.85
0.366,255.85
0.367,255.86
0.368,255.86
0.369,255.88
0.370,255.90
0.371,255.90
0.372,255.88
0.373,255.88
0.374,255.88
0.375,255.90
0.376,255.92
0.377,255.92
0.378,255.94
0.379,255.94
0.380,255.96
0.381,255.97
0.382,255.97
0.383,255.97
0.384,255.98
0.385,255.98
0.386,255.96
0.387,255.98
0.388,255.98
0.389,255.98
0.390,255.98
0.391,255.96
0.392,255.95
0.393,255.94
0.394,255.94
0.395,255.95
0.396,255.94
0.397,255.94
0.398,255.95
0.399,255.98
0.400,255.98
0.401,255.98
0.402,255.98
0.403,255.99
0.404,255.98
0.405,255.98
0.406,255.97
0.407,255.95
0.408,255.92
0.409,255.93
0.410,255.92
0.411,255.92
0.412,255.90
0.413,255.86
0.414,255.88
0.415,255.90
0.416,255.90
0.417,255.89
0.418,255.90
0.419,255.92
0.420,255.94
0.421,255.96
0.422,255.95
0.423,255.94
0.424,255.93
0.425,255.93
0.426,255.92
0.427,255.91
0.428,255.88
0.429,255.88
0.430,255.90
0.431,255.91
0.432,255.92
0.433,255.90
0.434,255.91
0.435,255.92
0.436,255.94
0.437,255.93
0.438,255.94
0.439,255.96
0.440,255.98
0.441,255.99
0.442,255.99
0.443,255.99
0.444,255.98
0.445,255.99
0.446,255.98
0.447,256.00
0.448,255.99
0.449,255.99
0.450,255.98
0.451,255.98
0.452,255.96
0.453,255.95
0.454,255.91
0.455,255.91
0.456,255.88
0.457,255.85
0.458,255.85
0.459,255.85
0.460,255.84
0.461,255.84
0.462,255.85
0.463,255.85
0.464,255.81
0.465,255.80
0.466,255.81
0.467,255.83
0.468,255.85
0.469,255.85
0.470,255.85
0.471,255.86
0.472,255.88
0.473,255.89
0.474,255.88
0.475,255.90
0.476,255.91
0.477,255.93
0.478,255.95
0.479,255.98
0.480,255.99
0.481,255.99
0.482,255.99
0.483,256.02
0.484,256.02
0.485,256.02
0.486,256.03
0.487,256.04
0.488,256.04
0.489,256.02
0.490,256.01
0.491,256.00
0.492,255.98
0.493,255.97
0.494,255.97
0.495,255.96
0.496,255.94
0.497,255.93
0.498,255.93
0.499,255.92
0.500,255.92
0.501,255.92
0.502,255.93
0.503,255.93
0.504,255.92
0.505,255.92
0.506,255.92
0.507,255.94
0.508,255.97
0.509,255.97
0.510,255.99
0.511,255.99
0.512,255.99
0.513,255.98
0.514,255.97
0.515,255.97
0.516,255.97
0.517,255.97
0.518,255.96
0.519,255.95
0.520,255.93
0.521,255.91
0.522,255.90
0.523,255.89
0.524,255.85
0.525,255.86
0.526,255.86
0.527,255.85
0.528,255.85
0.529,255.85
0.530,255.84
0.531,255.84
0.532,255.85
0.533,255.85
0.534,255.86
0.535,255.88
0.536,255.88
0.537,255.90
0.538,255.92
0.539,255.92
0.540,255.93
0.541,255.94
0.542,255.98
0.543,255.98
0.544,255.99
0.545,255.99
0.546,255.98
0.547,256.00
0.548,256.00
0.549,256.01
0.550,256.00
0.551,256.01
0.552,255.99
0.553,255.98
0.554,255.98
0.555,255.97
0.556,255.98
0.557,255.98
0.558,255.95
0.559,255.92
0.560,255.92
0.561,255.90
0.562,255.88
0.563,255.88
0.564,255.87
0.565,255.85
0.566,255.86
0.567,255.85
0.568,255.85
0.569,255.87
0.570,255.90
0.571,255.92
0.572,255.92
0.573,255.94
0.574,255.97
0.575,255.99
0.576,256.00
0.577,256.05
0.578,256.08
0.579,256.11
0.580,256.11
0.581,256.12
0.582,256.12
0.583,256.14
0.584,256.15
0.585,256.14
0.586,256.13
0.587,256.12
0.588,256.12
0.589,256.10
0.590,256.08
0.591,256.05
0.592,256.02
0.593,255.99
0.594,255.98
0.595,255.98
0.596,255.95
0.597,255.94
0.598,255.94
0.599,255.94
0.600,255.94
0.601,255.94
0.602,255.93
0.603,255.93
0.604,255.93
0.605,255.93
0.606,255.93
0.607,255.93
0.608,255.93
0.609,255.93
0.610,255.94
0.611,255.93
0.612,255.92
0.613,255.92
0.614,255.91
0.615,255.93
0.616,255.94
0.617,255.93
0.618,255.94
0.619,255.96
0.620,255.96
0.621,255.95
0.622,255.95
0.623,255.95
0.624,255.94
0.625,255.93
0.626,255.92
0.627,255.92
0.628,255.92
0.629,255.92
0.630,255.92
0.631,255.92
0.632,255.92
0.633,255.92
0.634,255.92
0.635,255.93
0.636,255.95
0.637,255.98
0.638,255.98
0.639,256.00
0.640,255.99
0.641,256.00
0.642,256.04
0.643,256.04
0.644,256.04
0.645,256.05
0.646,256.06
0.647,256.05
0.648,256.05
0.649,256.05
0.650,256.05
0.651,256.05
0.652,256.04
0.653,256.04
0.654,256.04
0.655,256.03
0.656,256.01
0.657,256.00
0.658,255.99
0.659,255.98
0.660,255.97
0.661,255.96
0.662,255.96
0.663,255.96
0.664,255.96
0.665,255.93
0.666,255.93
0.667,255.92
0.668,255.92
0.669,255.94
0.670,255.94
0.671,255.94
0.672,255.94
0.673,255.93
0.674,255.94
0.675,255.94
0.676,255.93
0.677,255.93
0.678,255.92
0.679,255.92
0.680,255.92
0.681,255.94
0.682,255.96
0.683,255.95
0.684,255.96
0.685,255.96
0.686,255.98
0.687,255.95
0.688,255.98
0.689,255.98
0.690,255.98
0.691,255.98
0.692,255.98
0.693,255.98
0.694,255.97
0.695,255.98
0.696,255.98
0.697,255.98
0.698,255.98
0.699,255.98
0.700,255.99
0.701,255.98
0.702,255.98
0.703,255.98
0.704,255.98
0.705,255.98
0.706,255.97
0.707,255.98
0.708,255.96
0.709,255.97
0.710,255.98
0.711,255.98
0.712,255.98
0.713,255.98
0.714,255.98
0.715,255.98
0.716,255.98
0.717,255.98
0.718,255.98
0.719,255.98
0.720,255.96
0.721,255.96
0.722,255.96
0.723,255.96
0.724,255.94
0.725,255.96
0.726,255.94
0.727,255.96
0.728,255.94
0.729,255.94
0.730,255.93
0.731,255.93
0.732,255.92
0.733,255.92
0.734,255.92
0.735,255.92
0.736,255.92
0.737,255.93
0.738,255.93
0.739,255.94
0.740,255.94
0.741,255.96
0.742,255.96
0.743,255.97
0.744,255.96
0.745,255.97
0.746,255.96
0.747,255.97
0.748,255.97
0.749,255.98
0.750,255.97
0.751,255.98
0.752,255.97
0.753,255.94
0.754,255.94
0.755,255.94
0.756,255.95
0.757,255.97
0.758,255.98
0.759,255.97
0.760,255.98
0.761,255.98
0.762,255.99
0.763,255.97
0.764,255.97
0.765,255.94
0.766,255.94
0.767,255.94
0.768,255.93
0.769,255.94
0.770,255.95
0.771,255.94
0.772,255.94
0.773,255.93
0.774,255.94
0.775,255.92
0.776,255.92
0.777,255.93
0.778,255.93
0.779,255.94
0.780,255.93
0.781,255.93
0.782,255.95
0.783,255.95
0.784,255.95
0.785,255.96
0.786,255.96
0.787,255.96
0.788,255.94
0.789,255.95
0.790,255.96
0.791,255.96
0.792,255.97
0.793,255.97
0.794,255.98
0.795,255.98
0.796,255.98
0.797,255.99
0.798,256.00
0.799,256.00
0.800,256.00
0.801,256.00
0.802,255.99
0.803,255.98
0.804,255.98
0.805,255.97
0.806,255.96
0.807,255.95
0.808,255.96
0.809,255.94
0.810,255.95
0.811,255.94
0.812,255.94
0.813,255.93
0.814,255.94
0.815,255.92
0.816,255.92
0.817,255.91
0.818,255.90
0.819,255.92
0.820,255.92
0.821,255.92
0.822,255.92
0.823,255.91
0.824,255.90
0.825,255.90
0.826,255.90
0.827,255.89
0.828,255.90
0.829,255.90
0.830,255.90
0.831,255.91
0.832,255.91
0.833,255.92
0.834,255.92
0.835,255.93
0.836,255.93
0.837,255.93
0.838,255.94
0.839,255.94
0.840,255.93
0.841,255.95
0.842,255.95
0.843,255.94
0.844,255.94
0.845,255.95
0.846,255.94
0.847,255.92
0.848,255.92
0.849,255.92
0.850,255.92
0.851,255.92
0.852,255.92
0.853,255.92
0.854,255.92
0.855,255.94
0.856,255.98
0.857,255.97
0.858,255.98
0.859,255.98
0.860,255.98
0.861,255.98
0.862,255.98
0.863,255.99
0.864,255.98
0.865,255.99
0.866,255.98
0.867,255.99
0.868,255.98
0.869,255.98
0.870,255.98
0.871,255.97
0.872,255.98
0.873,255.96
0.874,255.95
0.875,255.94
0.876,255.95
0.877,255.96
0.878,255.94
0.879,255.96
0.880,255.96
0.881,255.96
0.882,255.96
0.883,255.96
0.884,255.96
0.885,255.96
0.886,255.96
0.887,255.95
0.888,255.96
0.889,255.94
0.890,255.94
0.891,255.94
0.892,255.93
0.893,255.92
0.894,255.92
0.895,255.93
0.896,255.93
0.897,255.91
0.898,255.92
0.899,255.91
0.900,255.92
0.901,255.92
0.902,255.91
0.903,255.92
0.904,255.90
0.905,255.90
0.906,255.88
0.907,255.87
0.908,255.88
0.909,255.89
0.910,255.88
0.911,255.90
0.912,255.90
0.913,255.89
0.914,255.89
0.915,255.88
0.916,255.88
0.917,255.88
0.918,255.88
0.919,255.88
0.920,255.88
0.921,255.88
0.922,255.91
0.923,255.92
0.924,255.92
0.925,255.92
0.926,255.92
0.927,255.93
0.928,255.94
0.929,255.94
0.930,255.94
0.931,255.94
0.932,255.91
0.933,255.92
0.934,255.93
0.935,255.94
0.936,255.94
0.937,255.94
0.938,255.94
0.939,255.96
0.940,255.96
0.941,255.98
0.942,255.98
0.943,255.98
0.944,255.98
0.945,255.98
0.946,255.99
0.947,255.98
0.948,255.99
0.949,256.00
0.950,256.00
0.951,256.00
0.952,255.99
0.953,255.99
0.954,255.99
0.955,255.97
0.956,255.98
0.957,255.98
0.958,255.98
0.959,255.98
0.960,255.98
0.961,255.98
0.962,255.98
0.963,255.96
0.964,255.96
0.965,255.96
0.966,255.94
0.967,255.93
0.968,255.92
0.969,255.93
0.970,255.93
0.971,255.93
0.972,255.94
0.973,255.92
0.974,255.92
0.975,255.92
0.976,255.91
0.977,255.90
0.978,255.91
0.979,255.92
0.980,255.91
0.981,255.90
0.982,255.90
0.983,255.90
0.984,255.88
0.985,255.88
0.986,255.87
0.987,255.88
0.988,255.87
0.989,255.87
0.990,255.88
0.991,255.88
0.992,255.88
0.993,255.88
0.994,255.87
0.995,255.88
0.996,255.88
0.997,255.88
0.998,255.90
0.999,255.91
1.000,255.91
1.001,255.92
1.002,255.91
1.003,255.90
1.004,255.90
1.005,255.90
1.006,255.90
1.007,255.91
1.008,255.92
1.009,255.92
1.010,255.94
1.011,255.94
1.012,255.94
1.013,255.95
1.014,255.98
1.015,255.97
1.016,255.97
1.017,255.96
1.018,255.97
1.019,255.98
1.020,255.98
1.021,255.99
1.022,255.99
1.023,256.00
1.024,256.00
1.025,256.01
1.026,256.01
1.027,256.00
1.028,256.00
1.029,255.99
1.030,256.01
1.031,255.99
1.032,255.99
1.033,256.00
1.034,256.00
1.035,256.00
1.036,256.00
1.037,256.00
1.038,256.00
1.039,256.00
1.040,256.00
1.041,256.00
1.042,256.01
1.043,256.00
1.044,255.99
1.045,255.98
1.046,255.96
1.047,255.94
1.048,255.94
1.049,255.93
1.050,255.94
1.051,255.94
1.052,255.93
1.053,255.92
1.054,255.91
1.055,255.90
1.056,255.90
1.057,255.89
1.058,255.90
1.059,255.90
1.060,255.89
1.061,255.88
1.062,255.87
1.063,255.87
1.064,255.85
1.065,255.85
1.066,255.86
1.067,255.85
1.068,255.84
1.069,255.86
1.070,255.86
1.071,255.87
1.072,255.88
1.073,255.87
1.074,255.88
1.075,255.90
1.076,255.89
1.077,255.90
1.078,255.90
1.079,255.92
1.080,255.92
1.081,255.93
1.082,255.97
1.083,255.97
1.084,255.97
1.085,255.96
1.086,255.94
1.087,255.94
1.088,255.96
1.089,255.96
1.090,255.98
1.091,255.98
1.092,255.99
1.093,255.98
1.094,255.98
1.095,255.98
1.096,255.98
1.097,255.98
1.098,255.99
1.099,256.00
1.100,256.00
1.101,256.01
1.102,256.03
1.103,256.03
1.104,256.00
1.105,255.99
1.106,255.99
1.107,255.99
1.108,256.00
1.109,255.99
1.110,256.00
1.111,255.99
1.112,255.99
1.113,256.00
1.114,256.00
1.115,256.00
1.116,256.00
1.117,255.98
1.118,255.98
1.119,255.97
1.120,255.97
1.121,255.97
1.122,255.97
1.123,255.94
1.124,255.93
1.125,255.92
1.126,255.91
1.127,255.89
1.128,255.90
1.129,255.92
1.130,255.90
1.131,255.89
1.132,255.88
1.133,255.86
1.134,255.87
1.135,255.87
1.136,255.87
1.137,255.87
1.138,255.89
1.139,255.90
1.140,255.91
1.141,255.92
1.142,255.92
1.143,255.92
1.144,255.92
1.145,255.92
1.146,255.93
1.147,255.93
1.148,255.94
1.149,255.96
1.150,255.96
1.151,255.94
1.152,255.96
1.153,255.96
1.154,255.97
1.155,255.97
1.156,255.97
1.157,255.98
1.158,255.97
1.159,255.98
1.160,255.99
1.161,255.99
1.162,255.99
1.163,255.98
1.164,255.98
1.165,255.98
1.166,255.98
1.167,255.98
1.168,255.98
1.169,255.98
1.170,255.98
1.171,255.98
1.172,255.97
1.173,255.97
1.174,255.98
1.175,255.97
1.176,255.96
1.177,255.97
1.178,255.97
1.179,255.96
1.180,255.97
1.181,255.97
1.182,255.96
1.183,255.96
1.184,255.96
1.185,255.95
1.186,255.94
1.187,255.94
1.188,255.92
1.189,255.92
1.190,255.92
1.191,255.92
1.192,255.91
1.193,255.91
1.194,255.90
1.195,255.92
1.196,255.91
1.197,255.92
1.198,255.92
1.199,255.93
1.200,255.92
1.201,255.93
1.202,255.92
1.203,255.93
1.204,255.92
1.205,255.94
1.206,255.94
1.207,255.95
1.208,255.98
1.209,255.98
1.210,255.99
1.211,255.98
1.212,255.98
1.213,255.98
1.214,255.98
1.215,255.97
1.216,255.97
1.217,255.98
1.218,255.98
1.219,255.98
1.220,256.00
1.221,256.00
1.222,256.00
1.223,256.00
1.224,255.99
1.225,255.98
1.226,255.98
1.227,255.98
1.228,255.98
1.229,255.98
1.230,255.98
1.231,255.98
1.232,255.91
1.233,234.13
1.234,157.90
1.235,84.09
1.236,41.54
1.237,65.06
1.238,139.65
1.239,197.84
1.240,229.50
1.241,244.44
1.242,251.05
1.243,253.80
1.244,254.98
1.245,255.46
1.246,255.68
1.247,255.79
1.248,255.85
1.249,255.86
1.250,255.87
1.251,255.87
1.252,255.87
1.253,255.90
1.254,255.91
1.255,255.92
1.256,255.92
1.257,255.92
1.258,255.93
1.259,255.91
1.260,255.93
1.261,255.92
1.262,255.93
1.263,255.92
1.264,255.92
1.265,255.94
1.266,255.93
1.267,255.94
1.268,255.96
1.269,255.97
1.270,255.97
1.271,255.98
1.272,255.98
1.273,255.98
1.274,255.97
1.275,255.98
1.276,255.97
1.277,255.98
1.278,256.00
1.279,255.99
1.280,256.00
1.281,256.01
1.282,256.01
1.283,256.02
1.284,256.01
1.285,256.01
1.286,256.01
1.287,256.00
1.288,256.00
1.289,256.02
1.290,256.00
1.291,256.00
1.292,255.99
1.293,255.99
1.294,255.98
1.295,255.98
1.296,255.98
1.297,255.98
1.298,255.98
1.299,256.00
1.300,256.00
1.301,255.99
1.302,255.98
1.303,255.98
1.304,255.98
1.305,255.98
1.306,255.97
1.307,255.96
1.308,255.96
1.309,255.96
1.310,255.97
1.311,255.96
1.312,255.97
1.313,255.97
1.314,255.98
1.315,255.98
1.316,255.97
1.317,255.98
1.318,255.99
1.319,255.98
1.320,255.98
1.321,255.99
1.322,255.99
1.323,255.99
1.324,255.98
1.325,255.98
1.326,255.97
1.327,255.98
1.328,255.99
1.329,255.98
1.330,255.98
1.331,255.98
1.332,255.97
1.333,255.98
1.334,255.98
1.335,255.98
1.336,255.99
1.337,255.99
1.338,255.99
1.339,256.00
1.340,256.01
1.341,256.01
1.342,256.02
1.343,256.01
1.344,256.01
1.345,256.00
1.346,255.99
1.347,256.00
1.348,256.00
1.349,255.98
1.350,255.98
1.351,255.98
1.352,255.98
1.353,255.99
1.354,255.99
1.355,256.00
1.356,256.00
1.357,256.00
1.358,256.00
1.359,255.99
1.360,255.99
1.361,255.99
1.362,256.00
1.363,256.00
1.364,255.99
1.365,255.99
1.366,255.99
1.367,255.98
1.368,255.98
1.369,255.98
1.370,255.99
1.371,255.98
1.372,255.98
1.373,255.98
1.374,255.98
1.375,255.98
1.376,255.99
1.377,256.00
1.378,256.00
1.379,256.02
1.380,256.00
1.381,256.00
1.382,255.99
1.383,255.99
1.384,255.98
1.385,255.96
1.386,255.93
1.387,255.94
1.388,255.94
1.389,255.95
1.390,255.94
1.391,255.92
1.392,255.92
1.393,255.92
1.394,255.92
1.395,255.93
1.396,255.92
1.397,255.93
1.398,255.93
1.399,255.94
1.400,255.93
1.401,255.94
1.402,255.95
1.403,255.94
1.404,255.95
1.405,255.94
1.406,255.95
1.407,255.96
1.408,255.98
1.409,255.98
1.410,255.98
1.411,255.97
1.412,255.98
1.413,255.98
1.414,255.98
1.415,256.00
1.416,256.00
1.417,256.02
1.418,256.03
1.419,256.04
1.420,256.04
1.421,256.05
1.422,256.04
1.423,256.04
1.424,256.04
1.425,256.04
1.426,256.02
1.427,256.02
1.428,256.02
1.429,256.01
1.430,256.02
1.431,256.00
1.432,256.00
1.433,255.99
1.434,255.99
1.435,255.99
1.436,255.97
1.437,255.98
1.438,255.98
1.439,255.98
1.440,255.98
1.441,255.98
1.442,255.99
1.443,255.99
1.444,255.98
1.445,255.98
1.446,255.96
1.447,255.97
1.448,255.98
1.449,255.98
1.450,255.98
1.451,255.97
1.452,255.98
1.453,255.98
1.454,255.98
1.455,255.98
1.456,255.96
1.457,255.96
1.458,255.96
1.459,255.97
1.460,255.96
1.461,255.97
1.462,255.97
1.463,255.97
1.464,255.97
1.465,255.95
1.466,255.95
1.467,255.96
1.468,255.98
1.469,255.97
1.470,255.96
1.471,255.95
1.472,255.94
1.473,255.94
1.474,255.96
1.475,255.96
1.476,255.96
1.477,255.98
1.478,255.99
1.479,256.01
1.480,256.02
1.481,256.02
1.482,256.01
1.483,256.02
1.484,256.00
1.485,256.01
1.486,256.00
1.487,255.99
1.488,256.01
1.489,256.01
1.490,256.01
1.491,256.01
1.492,256.00
1.493,256.00
1.494,256.02
1.495,256.03
1.496,256.02
1.497,256.03
1.498,256.03
1.499,256.05
1.500,256.04
1.501,256.05
1.502,256.05
1.503,256.05
1.504,256.04
1.505,256.03
1.506,256.03
1.507,256.01
1.508,256.03
1.509,256.02
1.510,256.02
1.511,256.02
1.512,256.02
1.513,256.00
1.514,255.99
1.515,256.00
1.516,255.99
1.517,255.98
1.518,255.98
1.519,256.00
1.520,256.00
1.521,256.00
1.522,255.99
1.523,255.99
1.524,255.98
1.525,255.97
1.526,255.97
1.527,255.94
1.528,255.95
1.529,255.95
1.530,255.96
1.531,255.95
1.532,255.94
1.533,255.93
1.534,255.93
1.535,255.94
1.536,255.95
1.537,255.95
1.538,255.96
1.539,255.98
1.540,255.98
1.541,255.98
1.542,255.99
1.543,255.99
1.544,255.99
1.545,255.98
1.546,255.99
1.547,255.99
1.548,255.99
1.549,255.99
1.550,256.01
1.551,256.00
1.552,256.00
1.553,255.99
1.554,255.99
1.555,256.00
1.556,255.99
1.557,256.00
1.558,256.00
1.559,256.02
1.560,256.02
1.561,256.04
1.562,256.02
1.563,256.02
1.564,256.01
1.565,256.02
1.566,256.02
1.567,256.01
1.568,256.01
1.569,256.02
1.570,256.01
1.571,256.00
1.572,256.00
1.573,256.00
1.574,256.00
1.575,256.00
1.576,256.01
1.577,256.00
1.578,256.00
1.579,256.01
