"Time (s) Run #1","Light Intensity (lx) Run #1"
0.000,2.18
0.001,2.20
0.002,2.24
0.003,2.24
0.004,2.30
0.005,2.31
0.006,2.35
0.007,2.37
0.008,2.37
0.009,2.44
0.010,2.44
0.011,2.50
0.012,2.50
0.013,2.50
0.014,2.56
0.015,2.56
0.016,2.57
0.017,2.63
0.018,2.63
0.019,2.63
0.020,2.69
0.021,2.69
0.022,2.72
0.023,2.76
0.024,2.77
0.025,2.82
0.026,2.87
0.027,2.88
0.028,2.95
0.029,2.96
0.030,3.01
0.031,3.08
0.032,3.08
0.033,3.14
0.034,3.20
0.035,3.21
0.036,3.27
0.037,3.33
0.038,3.33
0.039,3.40
0.040,3.44
0.041,3.46
0.042,3.52
0.043,3.59
0.044,3.65
0.045,3.69
0.046,3.74
0.047,3.79
0.048,3.85
0.049,3.91
0.050,3.97
0.051,4.04
0.052,4.10
0.053,4.17
0.054,4.23
0.055,4.29
0.056,4.35
0.057,4.39
0.058,4.42
0.059,4.49
0.060,4.55
0.061,4.60
0.062,4.63
0.063,4.68
0.064,4.74
0.065,4.81
0.066,4.85
0.067,4.88
0.068,4.93
0.069,5.00
0.070,5.03
0.071,5.06
0.072,5.13
0.073,5.16
0.074,5.19
0.075,5.26
0.076,5.26
0.077,5.32
0.078,5.32
0.079,5.36
0.080,5.38
0.081,5.38
0.082,5.45
0.083,5.45
0.084,5.51
0.085,5.51
0.086,5.51
0.087,5.58
0.088,5.58
0.089,5.64
0.090,5.64
0.091,5.70
0.092,5.70
0.093,5.77
0.094,5.80
0.095,5.83
0.096,5.87
0.097,5.90
0.098,5.90
0.099,5.96
0.100,5.98
0.101,6.02
0.102,6.06
0.103,6.09
0.104,6.15
0.105,6.16
0.106,6.22
0.107,6.28
0.108,6.34
0.109,6.36
0.110,6.41
0.111,6.47
0.112,6.54
0.113,6.60
0.114,6.67
0.115,6.71
0.116,6.75
0.117,6.80
0.118,6.86
0.119,6.92
0.120,6.99
0.121,7.05
0.122,7.11
0.123,7.17
0.124,7.21
0.125,7.25
0.126,7.31
0.127,7.37
0.128,7.43
0.129,7.50
0.130,7.53
0.131,7.57
0.132,7.63
0.133,7.69
0.134,7.69
0.135,7.75
0.136,7.78
0.137,7.82
0.138,7.85
0.139,7.88
0.140,7.88
0.141,7.95
0.142,7.95
0.143,7.95
0.144,7.95
0.145,8.01
0.146,8.01
0.147,8.01
0.148,8.01
0.149,8.01
0.150,8.01
0.151,8.01
0.152,8.01
0.153,8.01
0.154,8.01
0.155,8.01
0.156,8.01
0.157,8.01
0.158,8.01
0.159,7.98
0.160,7.95
0.161,7.95
0.162,7.95
0.163,7.95
0.164,7.94
0.165,7.89
0.166,7.88
0.167,7.88
0.168,7.88
0.169,7.88
0.170,7.88
0.171,7.88
0.172,7.88
0.173,7.89
0.174,7.94
0.175,7.95
0.176,7.95
0.177,7.95
0.178,7.95
0.179,7.97
0.180,8.01
0.181,8.01
0.182,8.01
0.183,8.07
0.184,8.07
0.185,8.07
0.186,8.07
0.187,8.14
0.188,8.14
0.189,8.14
0.190,8.20
0.191,8.20
0.192,8.26
0.193,8.27
0.194,8.27
0.195,8.27
0.196,8.33
0.197,8.33
0.198,8.33
0.199,8.33
0.200,8.33
0.201,8.34
0.202,8.39
0.203,8.40
0.204,8.39
0.205,8.35
0.206,8.34
0.207,8.33
0.208,8.33
0.209,8.33
0.210,8.33
0.211,8.27
0.212,8.27
0.213,8.24
0.214,8.20
0.215,8.20
0.216,8.14
0.217,8.11
0.218,8.07
0.219,8.01
0.220,7.97
0.221,7.95
0.222,7.88
0.223,7.84
0.224,7.81
0.225,7.75
0.226,7.69
0.227,7.65
0.228,7.62
0.229,7.56
0.230,7.50
0.231,7.45
0.232,7.41
0.233,7.37
0.234,7.31
0.235,7.24
0.236,7.18
0.237,7.13
0.238,7.09
0.239,7.04
0.240,6.99
0.241,6.92
0.242,6.86
0.243,6.84
0.244,6.79
0.245,6.73
0.246,6.73
0.247,6.67
0.248,6.67
0.249,6.60
0.250,6.60
0.251,6.60
0.252,6.54
0.253,6.54
0.254,6.53
0.255,6.47
0.256,6.47
0.257,6.42
0.258,6.41
0.259,6.34
0.260,6.34
0.261,6.28
0.262,6.26
0.263,6.22
0.264,6.16
0.265,6.13
0.266,6.09
0.267,6.03
0.268,6.02
0.269,5.96
0.270,5.90
0.271,5.90
0.272,5.83
0.273,5.80
0.274,5.76
0.275,5.70
0.276,5.64
0.277,5.60
0.278,5.58
0.279,5.51
0.280,5.45
0.281,5.40
0.282,5.37
0.283,5.32
0.284,5.26
0.285,5.19
0.286,5.15
0.287,5.09
0.288,5.04
0.289,5.00
0.290,4.93
0.291,4.87
0.292,4.81
0.293,4.75
0.294,4.68
0.295,4.62
0.296,4.57
0.297,4.53
0.298,4.47
0.299,4.42
0.300,4.36
0.301,4.29
0.302,4.23
0.303,4.19
0.304,4.17
0.305,4.10
0.306,4.05
0.307,4.04
0.308,3.97
0.309,3.97
0.310,3.91
0.311,3.91
0.312,3.85
0.313,3.81
0.314,3.78
0.315,3.72
0.316,3.67
0.317,3.65
0.318,3.59
0.319,3.52
0.320,3.47
0.321,3.43
0.322,3.39
0.323,3.33
0.324,3.27
